-0.710	-0.426	0
-0.710	-0.284	0
-0.710	-0.142	0
-0.710	0.000	0
-0.710	0.142	0
-0.710	0.284	0
-0.710	0.426	0
-0.568	-0.426	0
-0.568	-0.284	0
-0.568	-0.142	0
-0.568	0.000	0
-0.568	0.142	0
-0.568	0.284	0
-0.568	0.426	0
-0.426	-0.426	0
-0.426	-0.284	0
-0.426	-0.142	0
-0.426	0.000	0
-0.426	0.142	0
-0.426	0.284	0
-0.426	0.426	0
-0.284	-0.426	0
-0.284	-0.284	0
-0.284	-0.142	0
-0.284	0.000	0
-0.284	0.142	0
-0.284	0.284	0
-0.284	0.426	0
-0.142	-0.426	0
-0.142	-0.284	0
-0.142	-0.142	0
-0.142	0.000	0
-0.142	0.142	0
-0.142	0.284	0
-0.142	0.426	0
0.000	-0.426	0
0.000	-0.284	0
0.000	-0.142	0
0.000	0.000	0
0.000	0.142	0
0.000	0.284	0
0.000	0.426	0
0.142	-0.426	0
0.142	-0.284	0
0.142	-0.142	0
0.142	0.000	0
0.142	0.142	0
0.142	0.284	0
0.142	0.426	0
0.284	-0.426	0
0.284	-0.284	0
0.284	-0.142	0
0.284	0.000	0
0.284	0.142	0
0.284	0.284	0
0.284	0.426	0
0.426	-0.426	0
0.426	-0.284	0
0.426	-0.142	0
0.426	0.000	0
0.426	0.142	0
0.426	0.284	0
0.426	0.426	0
0.568	-0.426	0
0.568	-0.284	0
0.568	-0.142	0
0.568	0.000	0
0.568	0.142	0
0.568	0.284	0
0.568	0.426	0
0.710	-0.426	0
0.710	-0.284	0
0.710	-0.142	0
0.710	0.000	0
0.710	0.142	0
0.710	0.284	0
0.710	0.426	0
