angle,sun,reflectors_back,reflectors_front,absorber_bottom,absorber_top
180.0,1997.9199999999998,29.84093312,1427.5218316799999,1397.6808985599998,62.369068639999995
181.0,2007.0800000000002,29.72284772,1428.14580232,1398.4229546000001,62.80354028
182.0,1973.93,30.19125935,1427.4948538200001,1397.30359447,62.49857166
183.0,1988.99,29.88656374,1425.49521007,1395.60864633,63.0112032
184.0,2007.14,29.579222180000002,1427.78506042,1398.20583824,62.10693302000001
185.0,2025.1399999999999,29.11543778,1424.71434196,1395.5989041799999,62.42089022
186.0,1977.3799999999999,28.72737664,1426.23871426,1397.51133762,61.78521548
187.0,2000.8600000000001,28.406209420000003,1423.90401556,1395.4978061400002,62.05467204000001
188.0,2018.4299999999998,28.784830229999997,1423.61482644,1394.82999621,62.09498051999999
189.0,2026.0299999999997,27.46486268,1420.6258976099998,1393.16103493,61.46975019999999
190.0,1963.8,27.067055399999997,1422.6081408,1395.5410854,61.140949199999994
191.0,1936.8600000000001,26.1572943,1420.17160524,1394.01431094,61.524357900000005
192.0,1962.47,24.72123459,1416.63055667,1391.90932208,61.599970830000004
193.0,1978.4899999999998,22.11556122,1411.6328300999999,1389.5172688799998,61.11951308
194.0,1928.1999999999998,19.9722956,1407.9870656,1388.01477,60.558977399999996
195.0,1943.75,17.21190625,1401.0161249999999,1383.80421875,60.368987499999996
196.0,1959.18,15.74984802,1396.93060524,1381.18075722,59.676622800000004
197.0,1985.8200000000002,14.438897220000001,1390.77102282,1376.33013978,60.23190642
198.0,1934.38,14.22543052,1388.03564718,1373.7986103800001,59.36031906
199.0,1949.0,12.99983,1381.273841,1368.266215,59.177487
200.0,1949.8700000000001,10.67553825,1374.53355832,1363.85802007,58.89387348
201.0,1953.5199999999998,9.718762,1367.25497336,1357.5283972799998,58.47276064
202.0,1857.8799999999999,8.977276159999999,1359.5334160799998,1350.5524241599999,57.86181472
203.0,1870.94,7.33034292,1350.66526292,1343.32743624,57.61933918
204.0,1883.86,6.24687976,1341.78682044,1335.53994068,57.39933034
205.0,1896.6499999999999,4.88387375,1338.15295775,1333.269084,56.743974699999995
206.0,1878.45,4.4368989,1336.08325305,1331.64635415,56.3121741
207.0,1898.02,4.45844898,1331.54264486,1327.08229786,55.78470582
208.0,1879.7,4.4436108,1328.1903809,1323.7354919,55.1409995
209.0,1874.46,4.49495508,1323.26753916,1318.7669607,55.131617520000006
210.0,1862.02,4.63270576,1319.16855122,1314.5283973800001,54.02092424
211.0,1900.79,4.32429725,1312.5563202800001,1308.22061829,53.172699460000004
212.0,1902.55,4.36254715,1305.14359235,1300.7620197,52.7615166
213.0,1913.71,4.5431475400000005,1290.3706376700002,1285.7968707700002,53.09205653
214.0,1882.8700000000001,4.2929436,1277.59884406,1273.27577454,52.19880501
215.0,1903.02,4.36552788,1263.60147396,1259.21310984,51.535684620000005
216.0,1882.62,4.50322704,1248.09798996,1243.55146266,50.3789112
217.0,1892.81,4.31182118,1233.90769652,1229.55801914,49.81497358
218.0,1833.4,4.3689922,1220.4100436,1215.9970498,49.1607876
219.0,1842.92,4.30506112,1203.40648788,1199.06641128,48.38033584
220.0,1880.39,4.19891087,1189.42377099,1185.17408959,47.6866904
221.0,1861.65,4.1812659000000005,1170.07494975,1165.83783435,47.092298400000004
222.0,1860.1799999999998,4.254231659999999,1154.71045536,1150.39669794,46.346384699999994
223.0,1743.8,4.1293184,1138.1643096,1133.9791896,45.4451718
224.0,1752.03,4.12077456,1121.2641594,1117.11009627,45.33728031
225.0,1760.12,4.21900764,1103.7008472,1099.40791452,44.3022204
