angle,sun,reflectors_back,reflectors_front,absorber_bottom,absorber_top
180.0,1617.3500000000001,29.7430665,1426.65311355,1396.91004705,63.40820675
180.5,1617.75,29.889549000000002,1428.02836875,1398.13881975,62.35940925
181.0,1615.06,30.22261778,1427.52246292,1397.29984514,62.4382196
181.5,1622.97,30.01683015,1427.83220205,1397.8153719,62.870611860000004
182.0,1615.45,30.22668495,1427.27753765,1397.0508527,62.37737085
182.5,1623.42,29.99755476,1427.06572758,1397.06817282,62.54550234
183.0,1619.22,29.72402154,1428.15042078,1398.42639924,62.33511234
183.5,1626.8899999999999,29.57035264,1427.00704082,1397.43668818,62.220408049999996
184.0,1618.6399999999999,30.00634832,1425.91986568,1395.91351736,62.61385112
184.5,1627.6299999999999,29.52195294,1426.9985604199999,1397.47660748,62.41472761
185.0,1618.36,29.95098852,1426.45163448,1396.50064596,61.813260199999995
185.5,1619.72,29.55989,1426.5197984000001,1396.9599084000001,62.07252956
186.0,1618.86,29.6656095,1425.99549504,1396.32988554,62.00881344
186.5,1613.57,29.550920979999997,1425.3954666,1395.84454562,61.9449523
187.0,1612.01,29.259593510000002,1425.20705718,1395.9474636700002,61.849599680000004
187.5,1610.35,30.07006555,1423.73136955,1393.661304,62.3785176
188.0,1606.3,29.7888335,1422.8059258,1393.0170923,62.2087864
188.5,1602.55,30.1567859,1423.54676755,1393.38998165,61.664521449999995
189.0,1611.31,29.40963012,1422.7786734499998,1393.3690433299998,61.619717019999996
189.5,1609.8200000000002,29.38887392,1422.07313268,1392.6842587600001,61.47741598
190.0,1601.47,29.50708475,1422.22547025,1392.7183855,61.7206538
190.5,1597.8500000000001,28.67980965,1420.05563265,1391.375823,61.7057713
191.0,1595.45,28.7851089,1419.23414295,1390.44903405,61.22858465
191.5,1594.28,28.418041,1416.66285948,1388.24481848,61.7145788
192.0,1588.04,28.386215,1415.8551749599999,1387.46895996,61.76840384
192.5,1589.7,27.7180092,1414.1383011,1386.4202919000002,60.9793023
193.0,1586.33,26.92319276,1412.25249112,1385.32929836,60.20915515
193.5,1582.49,26.83428293,1410.51606423,1383.6817813,60.303946429999996
194.0,1581.37,26.77417547,1407.05716627,1380.2829907999999,61.15790337999999
194.5,1583.14,26.53184326,1408.96452034,1382.43267708,60.4442852
195.0,1584.3000000000002,25.963508400000002,1409.6657796000002,1383.7022712,60.6755214
195.5,1583.34,26.13144336,1410.92694072,1384.79549736,59.91041892
196.0,1585.41,25.87230579,1410.89282343,1385.02051764,60.01411014
196.5,1587.97,25.82674408,1411.73073752,1385.90399344,59.99827051
197.0,1587.16,25.6961204,1412.45495016,1386.75882976,59.68356464
197.5,1581.69,25.58699913,1412.23247847,1386.64547934,59.69930736
198.0,1580.99,25.69266849,1412.49915273,1386.80648424,59.42783311
198.5,1583.1499999999999,25.68344245,1412.6795743,1386.99613185,59.5865997
199.0,1581.53,25.737819220000002,1411.92355974,1386.18574052,59.18717872
199.5,1587.1200000000001,25.61294256,1412.46696672,1386.85402416,58.95515952
200.0,1584.7700000000002,25.91415904,1411.80978697,1385.89562793,58.64916816
200.5,1582.6,25.519425,1411.4069928,1385.8875678,58.246010399999996
201.0,1580.71,25.621728389999998,1410.88958257,1385.2678541799999,58.22387214
201.5,1579.0,25.65875,1410.0201570000002,1384.361407,57.963511000000004
202.0,1579.9099999999999,25.641939299999997,1409.06959197,1383.4276526699998,57.79784753
202.5,1584.71,25.21749023,1408.44746083,1383.2299706000001,57.79912783
203.0,1580.0,25.6118,1404.48886,1378.87706,57.56888
203.5,1581.49,25.46831496,1400.9217977600001,1375.4534828,56.9494549
204.0,1577.52,25.07152536,1395.96795576,1370.89012032,56.89956888
204.5,1568.99,25.185427479999998,1391.84789102,1366.64677364,56.28437827
205.0,1568.57,25.537888170000002,1386.15942613,1360.59016656,56.66772839
