angle,sun,reflectors_back,reflectors_front,absorber_bottom,absorber_top
180.0,1615.2,30.2026248,1427.7834984,1397.5808736,62.8781208
181.0,1614.1899999999998,29.907712319999998,1427.02305531,1397.11534299,62.5821463
182.0,1616.15,29.8147352,1427.1671159,1397.3523807,62.415713000000004
183.0,1612.26,29.559174839999997,1426.74691536,1397.18774052,62.59921902
184.0,1612.22,29.27469076,1426.19721974,1396.92252898,62.83305006
185.0,1614.54,29.01651288,1425.7647541200001,1396.74824124,62.217913440000004
186.0,1609.53,28.75425345,1426.52321994,1397.7689664900001,61.51462707
187.0,1611.3799999999999,28.88559788,1424.8144235999998,1395.9288257199998,62.009125159999996
188.0,1611.8300000000002,28.63415995,1424.25489558,1395.6207356300001,61.52516293
189.0,1603.12,27.85100376,1423.19542992,1395.34442616,61.76340424
190.0,1605.35,27.1978397,1422.1378259,1394.9399862,61.76905195
191.0,1600.16,26.18181792,1419.43952976,1393.25771184,61.86698608
192.0,1580.2800000000002,24.11349252,1415.6653929600002,1391.55190044,60.968782680000004
193.0,1579.97,22.11958,1412.1566463899999,1390.03706639,61.09112002
194.0,1571.29,19.93809881,1407.57258103,1387.6344822199999,60.92676975
195.0,1572.6299999999999,17.15424804,1402.53276657,1385.37851853,60.29777946
196.0,1562.46,15.471478920000001,1397.7298422000001,1382.2583632800001,60.42970296000001
197.0,1561.1200000000001,14.59959424,1392.63144064,1378.0318464,59.77216256
198.0,1549.04,13.983184080000001,1387.38683272,1373.39745248,59.173328
199.0,1547.69,13.43240151,1381.07962381,1367.64257923,59.41272372
200.0,1529.2700000000002,10.41127016,1374.73114942,1364.31987926,58.38905787
201.0,1525.4,9.684764600000001,1367.6431320000002,1357.9537912,58.2260434
202.0,1520.1200000000001,8.94742632,1358.1922572400001,1349.24027056,57.88160924
203.0,1505.74,7.57236646,1349.9335535,1342.35516408,57.38826862
204.0,1503.14,6.37030732,1341.62610386,1335.2542934,56.959987160000004
205.0,1502.2099999999998,4.795054319999999,1337.85019948,1333.05514516,56.93075458
206.0,1477.26,4.38598494,1335.92019498,1331.53421004,56.19053862
207.0,1478.22,4.35187968,1331.654487,1327.29965088,55.6845474
208.0,1477.7900000000002,4.3373136500000005,1327.4958014200001,1323.15257661,54.98265474
209.0,1477.8300000000002,4.20590418,1323.5637597900002,1319.3519442900001,54.041287440000005
210.0,1475.1,4.2910659,1318.4694567,1314.16659,54.0166869
211.0,1475.51,4.33947491,1314.10691212,1309.7512066,53.58904769
212.0,1456.65,4.381603200000001,1303.2152289,1298.8103193000002,52.847262
213.0,1453.24,4.41494312,1289.9176226,1285.4852406,52.756971719999996
214.0,1430.61,4.391972699999999,1277.3415976499998,1272.93531885,51.39180303
215.0,1421.0500000000002,4.3143078,1263.5237654,1259.1881418500002,51.147852650000004
216.0,1409.1299999999999,4.14425133,1248.83864424,1244.66339205,50.31016839
217.0,1397.08,4.28344728,1234.145545,1229.82996488,49.6871502
218.0,1380.33,4.29006564,1218.36621879,1214.04716622,49.465505879999995
219.0,1369.03,4.21250531,1203.2938591700001,1199.04575908,48.38699632
220.0,1340.92,4.37005828,1187.217045,1182.80675912,47.8976624
221.0,1313.84,4.27260768,1170.8745004,1166.56116368,47.31400608
222.0,1293.51,4.06679544,1154.2804641300002,1150.15546074,46.79660478
223.0,1280.51,4.23080504,1138.2683881799999,1133.9722771299998,45.69884088
224.0,1258.11,4.21970094,1120.97601,1116.70724277,44.86042827
225.0,1240.29,4.14380889,1104.45840036,1100.2488561,43.60983669
