angle,sun,reflectors_back,reflectors_front,absorber_bottom,absorber_top
180.0,1561.8,28.118647199999998,1398.248304,1370.1296568,50.475814199999995
181.0,1556.76,28.31123736,1398.8842981199998,1370.5730607599999,50.174374799999995
182.0,1553.0400000000002,28.218736800000002,1398.7749837600002,1370.5562469600002,50.04360792000001
183.0,1557.0,28.046241,1398.88665,1370.840409,49.624704
184.0,1567.04,28.02180928,1398.95615552,1370.93434624,49.21759232
185.0,1557.9,28.2384954,1397.5328898,1369.2943944,49.6783152
186.0,1554.55,27.9881182,1397.04454855,1369.05643035,49.64766335
187.0,1548.23,27.78918027,1395.85010694,1368.06092667,49.59754805
188.0,1553.52,27.54546312,1396.26804504,1368.72258192,48.83645472
189.0,1545.22,27.001174279999997,1394.45752026,1367.45634598,49.04837324
190.0,1543.01,25.54607356,1391.8104501,1366.26437654,49.2528792
191.0,1544.8700000000001,24.38113834,1389.36647554,1364.9853372,48.78853947
192.0,1534.3,23.0482546,1385.0985308,1362.0502761999999,49.0500367
193.0,1536.39,21.56937921,1381.6109986200001,1360.04161941,48.649789350000006
194.0,1508.11,20.96423711,1376.11568847,1355.15145136,48.83561802
195.0,1507.09,20.4210695,1371.93266171,1351.51159221,48.17714603
196.0,1502.47,19.94979666,1367.1635616800002,1347.2137650200002,48.15716844000001
197.0,1489.66,19.56072546,1361.41963958,1341.85891412,47.68699592
198.0,1496.01,17.95062399,1358.93658774,1340.98596375,47.90972025
199.0,1490.8799999999999,17.77576224,1359.02359104,1341.2478288,46.88668512
200.0,1498.3799999999999,17.68687752,1357.9143669,1340.22748938,47.00268222
201.0,1490.01,17.62979832,1356.30991269,1338.68011437,47.09474607
202.0,1497.1699999999998,17.43005314,1355.95842277,1338.52836963,46.425744529999996
203.0,1488.6999999999998,17.443097899999998,1353.8863053999999,1336.4432075,45.857914799999996
204.0,1495.55,17.37081325,1351.56891485,1334.1981016,45.62175275
205.0,1479.63,17.62091367,1342.55559717,1324.9198872,45.25744281
206.0,1475.67,17.278620030000003,1332.9343435800001,1315.6217831400002,44.959237890000004
207.0,1462.2700000000002,16.899454390000002,1323.78279511,1306.8540953200002,44.04064786
208.0,1460.8100000000002,17.3252066,1312.70723896,1295.3513553500002,44.369182130000006
209.0,1444.43,16.94171947,1301.4747629,1284.47237737,43.60156398
210.0,1431.8799999999999,16.95775484,1289.5683105599999,1272.55328052,43.214138399999996
211.0,1425.6799999999998,16.526482559999998,1278.69381768,1262.0974767999999,42.59646704
212.0,1407.59,16.66868078,1266.18491619,1249.43741037,42.26007457
213.0,1400.59,16.15160388,1253.04344586,1236.79520127,42.46868998
214.0,1370.56,16.25210048,1239.73045408,1223.3755616,41.80756224
215.0,1367.49,15.923053560000001,1227.5533808100001,1211.5168255800002,41.22435354
216.0,1351.72,16.26930192,1213.75129132,1197.38466556,40.70569608
217.0,1340.25,15.938253000000001,1200.51955575,1184.4995475,40.117703250000005
218.0,1323.16,16.05390028,1186.55828476,1170.42631804,39.248895080000004
219.0,1307.58,15.583738440000001,1171.82181408,1156.15439052,39.17117406
220.0,1289.4099999999999,15.6663315,1157.6258509499999,1141.88344426,38.28516172
221.0,1273.0,15.433852,1142.279449,1126.776855,37.687165
222.0,1252.85,15.47395035,1127.47604765,1111.929432,36.97536205
223.0,1237.06,15.248001559999999,1110.9578147799998,1095.66156788,36.40296462
224.0,1223.76,14.978822399999999,1095.92235912,1080.87011112,35.83291656
225.0,1206.8,15.065691200000002,1079.9254956,1064.7886032000001,35.558362
